polski,pierwsza forma,druga forma
znajdować,finden,fand
przychodzić,kommen,kam
siedzieć,sitzen,sass
mówić,sprechen,sprach
spotykać,treffen,traf
zapraszać,einladen,lud...ein
jechać,fahren,fuhr
latać,fliegen,flog
zgubić,verlieren,verlor
preprowadzac się,ziehen,zog
zatrzymać,anhalten,hielt...an
dzwonić,anrufen,rief...an
wysiadać,aussteigen,stieg...aus
pisać,schreiben,schreib
iść,gehen,ging
przynosić,bringen,brachte
myśleć,denken,dachte
zostać,werden,wurde
wiedzieć,wissen,wusste
spędzać,verbringen,verbrachte
rozmawiać,sich unterhalten,sich unterhielt
podchodzić,zukommen,kam...zu
widzieć,sehen,sah
jeść,essen,ass
biec,laufen,lief
czytać,lesen,las
brać,nehmen,nahm
spać,schlafen,schlief
nosić,tragen,trug
pić,trinken,trank
wygrać,gewinnen,gewann
być,sein,war
